TIME_PERIOD,OBS_VALUE,COBER_GEO
2022/04,128857600,00
2022/03,128665641,00
2022/02,128533664,00
2022/01,128271478,00
2021/04,127996051,00
2021/03,127772520,00
2021/02,127488991,00
2021/01,127203297,00
2020/04,126880395,00
2020/03,126554112,00
2020/02,126221147.333333,00
2020/01,125877636,00
2019/04,125523613,00
2019/03,125157089,00
2019/02,124776689,00
2019/01,124382965,00
2018/04,123975965,00
2018/03,123556624,00
2018/02,123126079,00
2018/01,122686834,00
2017/04,122334498,00
2017/03,121983203,00
2017/02,121633302,00
2017/01,121284631,00
2016/04,120937324,00
2016/03,120591244,00
2016/02,120246444,00
2016/01,119902882,00
2015/04,119560800,00
2015/03,119219891,00
2015/02,118880091,00
2015/01,118541164,00
2014/04,118203959,00
2014/03,117867806,00
2014/02,117532774,00
2014/01,117199493,00
2013/04,118896009,00
2013/03,118564077,00
2013/02,118229132,00
2013/01,117898203,00
2012/04,117564064,00
2012/03,117226029,00
2012/02,116884725,00
2012/01,116545271,00
2011/04,116202202,00
2011/03,115857912,00
2011/02,115511147,00
2011/01,115168163,00
2010/04,114818957,00
2010/03,114468031,00
2010/02,114114587,00
2010/01,113764977,00
2009/04,113408736,00
2009/03,113042691,00
2009/02,112663809,00
2009/01,112281633,00
2008/04,111891534,00
2008/03,111498183,00
2008/02,111105266,00
2008/01,110722635,00
2007/04,110344039,00
2007/03,109972848,00
2007/02,109607937,00
2007/01,109257748,00
2006/04,108914323,00
2006/03,108577054,00
2006/02,108246318,00
2006/01,107928527,00
2005/04,107615497,00
2005/03,107306131,00
2005/02,106999770,00
2005/01,106701738,00
